Season,Playoffs,Filler,Team,Full Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,o_eFG%,o_TOV%,o_DRB%,o_FT/FGA,Total,W%
2010,4,Orlando Magic*,Orlando Magic,2010 Orlando Magic*,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92,0.34,0.35,0.573,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,82,0.719512195
2010,3,Cleveland Cavaliers*,Cleveland Cavaliers,2010 Cleveland Cavaliers*,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,82,0.743902439
2010,3,Utah Jazz*,Utah Jazz,2010 Utah Jazz*,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105,5.7,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,82,0.646341463
2010,3,San Antonio Spurs*,San Antonio Spurs,2010 San Antonio Spurs*,28.7,50,32,55,27,5.09,-0.02,5.07,110,104.5,5.5,91.7,0.296,0.232,0.552,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,82,0.609756098
2010,3,Atlanta Hawks*,Atlanta Hawks,2010 Atlanta Hawks*,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,82,0.646341463
2010,4,Phoenix Suns*,Phoenix Suns,2010 Phoenix Suns*,28.5,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,82,0.658536585
2010,6,Los Angeles Lakers*,Los Angeles Lakers,2010 Los Angeles Lakers*,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,82,0.695121951
2010,2,Denver Nuggets*,Denver Nuggets,2010 Denver Nuggets*,27.7,53,29,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.376,0.227,0.561,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,82,0.646341463
2010,5,Boston Celtics*,Boston Celtics,2010 Boston Celtics*,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,82,0.609756098
2010,2,Portland Trail Blazers*,Portland Trail Blazers,2010 Portland Trail Blazers*,26.6,50,32,51,31,3.3,-0.13,3.18,110.8,107.1,3.7,87.7,0.315,0.215,0.547,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,82,0.609756098
2010,2,Oklahoma City Thunder*,Oklahoma City Thunder,2010 Oklahoma City Thunder*,23.2,50,32,51,31,3.49,0.06,3.55,108.3,104.6,3.7,93.1,0.333,0.185,0.547,0.494,13.9,28.6,0.268,0.483,14,73.6,0.229,82,0.609756098
2010,2,Dallas Mavericks*,Dallas Mavericks,2010 Dallas Mavericks*,30.7,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.277,0.222,0.552,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,82,0.670731707
2010,2,Miami Heat*,Miami Heat,2010 Miami Heat*,27.1,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,0.296,0.219,0.537,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.246,82,0.573170732
2010,2,Milwaukee Bucks*,Milwaukee Bucks,2010 Milwaukee Bucks*,26.4,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.239,0.259,0.518,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,82,0.56097561
2010,2,Charlotte Bobcats*,Charlotte Bobcats,2010 Charlotte Bobcats*,27.4,44,38,45,37,1.46,-0.17,1.3,104.4,102.8,1.6,90.4,0.346,0.211,0.538,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,82,0.536585366
2010,1,Houston Rockets,Houston Rockets,2010 Houston Rockets,26,42,40,40,42,-0.37,0.35,-0.02,107.6,108,-0.4,94,0.292,0.265,0.537,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,82,0.512195122
2010,1,Memphis Grizzlies,Memphis Grizzlies,2010 Memphis Grizzlies,24.1,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,0.32,0.148,0.536,0.494,13.7,31.3,0.235,0.52,13.2,73.3,0.205,82,0.487804878
2010,2,Chicago Bulls*,Chicago Bulls,2010 Chicago Bulls*,26.2,41,41,36,46,-1.63,0,-1.64,103.5,105.3,-1.8,93.1,0.287,0.156,0.52,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,82,0.5
2010,1,Toronto Raptors,Toronto Raptors,2010 Toronto Raptors,25.2,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,0.319,0.211,0.564,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,82,0.487804878
2010,1,New Orleans Hornets,New Orleans Hornets,2010 New Orleans Hornets,27.5,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,0.243,0.23,0.543,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,82,0.451219512
2010,1,Indiana Pacers,Indiana Pacers,2010 Indiana Pacers,26.6,32,50,33,49,-3.01,-0.1,-3.11,103.7,106.8,-3.1,97.1,0.296,0.278,0.536,0.491,13.8,21.6,0.229,0.49,13.4,73,0.258,82,0.390243902
2010,1,Golden State Warriors,Golden State Warriors,2010 Golden State Warriors,25.1,26,56,32,50,-3.6,0.32,-3.28,108.1,111.7,-3.6,100.4,0.294,0.238,0.557,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,82,0.317073171
2010,1,New York Knicks,New York Knicks,2010 New York Knicks,25.4,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,-4,94,0.256,0.312,0.547,0.509,13,23.5,0.2,0.526,13.3,72.1,0.207,82,0.353658537
2010,1,Philadelphia 76ers,Philadelphia 76ers,2010 Philadelphia 76ers,25.4,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,-4.2,91.6,0.27,0.206,0.534,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,82,0.329268293
