Year,Result,Win%,PPG,APG,RPG,oRTG,dRTG,eFGPerc,OeFGPerc
2010,Made Playoffs,0.613,100.275,21.750,42.850,107.875,104.225,0.502,0.482
2010,Missed Playoffs,0.363,101.875,22.150,41.925,106.800,110.575,0.495,0.513
2011,Made Playoffs,0.648,97.350,22.300,43.925,106.375,100.750,0.497,0.470
2011,Missed Playoffs,0.360,93.275,21.150,41.000,101.950,106.800,0.477,0.495
2012,Made Playoffs,0.627,101.000,22.525,41.375,107.850,103.700,0.515,0.483
2012,Missed Playoffs,0.381,96.650,22.025,41.725,103.925,108.475,0.486,0.506
2013,Made Playoffs,0.616,102.375,23.425,42.675,107.625,104.125,0.513,0.493
2013,Missed Playoffs,0.372,101.775,21.575,42.875,105.200,108.650,0.490,0.515
2014,Made Playoffs,0.628,102.075,24.400,42.450,106.900,103.525,0.514,0.489
2014,Missed Playoffs,0.363,97.575,20.625,43.500,102.225,106.625,0.481,0.499
2015,Made Playoffs,0.680,106.000,24.075,43.700,109.625,104.675,0.521,0.498
2015,Missed Playoffs,0.335,100.100,21.700,43.075,102.700,108.275,0.486,0.508
2016,Made Playoffs,0.640,108.000,24.475,44.575,111.100,106.325,0.524,0.498
2016,Missed Playoffs,0.381,107.100,21.875,44.725,107.925,110.575,0.511,0.517
2017,Made Playoffs,0.644,109.300,23.550,42.600,111.900,107.700,0.537,0.518
2017,Missed Playoffs,0.399,105.550,22.015,43.250,107.700,111.250,0.515,0.530
2018,Made Playoffs,0.613,111.700,24.875,46.375,111.250,107.250,0.530,0.513
2018,Missed Playoffs,0.348,108.500,22.375,44.375,108.500,115.125,0.508,0.542
2019,Made Playoffs,0.607,113.450,23.875,46.625,111.500,108.125,0.532,0.514
2019,Missed Playoffs,0.365,111.450,25.875,44.500,109.500,109.750,0.518,0.539
2020,Made Playoffs,0.601,115.225,25.000,45.000,114.875,111.125,0.550,0.530
2020,Missed Playoffs,0.382,111.100,25.750,42.875,109.625,112.500,0.533,0.537
2021,Made Playoffs,0.607,113.400,25.750,45.750,114.500,111.000,0.533,0.531
2021,Missed Playoffs,0.390,107.375,24.125,43.500,108.750,112.375,0.527,0.530
